t=2026-07-02T12:11:18+0300 lvl=info msg="no configuration paths supplied"
t=2026-07-02T12:11:18+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Roof\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T12:11:18+0300 lvl=info msg="open config file" path=C:\\Users\\Roof\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T12:11:18+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T12:11:18+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T12:11:19+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T12:11:19+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T12:11:19+0300 lvl=info msg="update available" obj=updater
t=2026-07-02T12:11:19+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://schnapps-capillary-doorknob.ngrok-free.dev
t=2026-07-02T12:17:12+0300 lvl=info msg="join connections" obj=join id=5449c25cfa3f l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:12+0300 lvl=info msg="join connections" obj=join id=051a035bfb7f l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:12+0300 lvl=info msg="join connections" obj=join id=149be5feb9f1 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=f69e9aa9d1f9 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=6bab39b91866 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=b1f72890ae4f l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=c9ab54c26efe l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=46ed48f51d00 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=ebcca9efffad l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=853e0b3d16b1 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=f68d22ee9ff1 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=21f4ea62a262 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=002fcd1c8027 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:13+0300 lvl=info msg="join connections" obj=join id=04392c2d33a6 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:14+0300 lvl=info msg="join connections" obj=join id=de79e756bb35 l=127.0.0.1:3000 r=212.193.2.246:52643
t=2026-07-02T12:17:15+0300 lvl=info msg="join connections" obj=join id=1e84058c5198 l=127.0.0.1:3000 r=212.193.2.246:52645
t=2026-07-02T12:17:16+0300 lvl=info msg="join connections" obj=join id=e62c5562805d l=127.0.0.1:3000 r=212.193.2.246:52647
t=2026-07-02T12:17:18+0300 lvl=info msg="join connections" obj=join id=dca85c627bb4 l=127.0.0.1:3000 r=212.193.2.246:52702
t=2026-07-02T12:17:19+0300 lvl=info msg="join connections" obj=join id=d2234495097a l=127.0.0.1:3000 r=212.193.2.246:52705
t=2026-07-02T12:17:20+0300 lvl=info msg="join connections" obj=join id=1059cffdd5ad l=127.0.0.1:3000 r=212.193.2.246:52707
t=2026-07-02T12:17:26+0300 lvl=info msg="join connections" obj=join id=5466e9339088 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:26+0300 lvl=info msg="join connections" obj=join id=745869e2c65b l=127.0.0.1:3000 r=212.193.2.246:52733
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=1dcd1042b04a l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=819a3bcfa445 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=25c87ebcb298 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=34cc0ae3a37f l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=71a63bbcd3bd l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=478174df186b l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=3df43292e799 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=52a12f9a7ae0 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=6b15c888da89 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=c26e55700bf1 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=2398c6d68470 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=360d028c6c0a l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=c11e16c835e4 l=127.0.0.1:3000 r=212.193.2.246:52627
t=2026-07-02T12:17:28+0300 lvl=info msg="join connections" obj=join id=0f90aff106be l=127.0.0.1:3000 r=212.193.2.246:52627
